任务ID,名称,工序,批次,首批序,资产ID,场次,前置任务,验收条件,英文提示词,状态,拟定文件名
MB-C06-FULL,黄祁｜全身干衣,MJ,B,,C06,GJ-EP01-SC01,MB-C06-FACE,与另四名刺客脸形体量不同；身份母版不蒙面，林夜遮面与撤态另做；无新增血伤；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 34, a long rectangular face with high clear cheekbones, angled brows, narrow eyes, tall wiry athletic build. black hair bound close to the head, face unobscured in this identity study. matte black narrow-sleeved travel jacket over charcoal layers, plain dark belt. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C06-FULL__v01__candidate.png
MB-C06-PROFILE,黄祁｜侧脸,MJ,B,,C06,GJ-EP01-SC01,MB-C06-FACE,与另四名刺客脸形体量不同；身份母版不蒙面，林夜遮面与撤态另做；无新增血伤；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 34, a long rectangular face with high clear cheekbones, angled brows, narrow eyes, tall wiry athletic build. black hair bound close to the head, face unobscured in this identity study. matte black narrow-sleeved travel jacket over charcoal layers, plain dark belt. clean left profile head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C06-PROFILE__v01__candidate.png
MB-C06-THREEQUARTER,黄祁｜四分之三脸,MJ,B,,C06,GJ-EP01-SC01,MB-C06-FACE,与另四名刺客脸形体量不同；身份母版不蒙面，林夜遮面与撤态另做；无新增血伤；只改视角，耳鼻下颌与选脸同源,"Single fictional Chinese man, age 34, a long rectangular face with high clear cheekbones, angled brows, narrow eyes, tall wiry athletic build. black hair bound close to the head, face unobscured in this identity study. matte black narrow-sleeved travel jacket over charcoal layers, plain dark belt. three-quarter head-and-shoulders portrait, neutral relaxed expression. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C06-THREEQUARTER__v01__candidate.png
MB-C07-FACE,罗顺｜正脸身份,MJ,C,,C07,GJ-EP01-SC01,,26岁方圆脸，雨帽和灰褐衣；不共用黄祁、马六的脸,"Single fictional Chinese man, age 26, a short square-round face, thick straight brows, broad eyes, solid nose wings and jaw, strong neck and shoulders. black hair tied simply, ordinary gray-brown rain hat worn back to show the face. gray-brown short travel coat with dark blue inner collar, fitted dense cotton sleeves. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C07-FACE__v01__candidate.png
MB-C07-FULL,罗顺｜全身干衣,MJ,C,,C07,GJ-EP01-SC01,MB-C07-FACE,26岁方圆脸，雨帽和灰褐衣；不共用黄祁、马六的脸；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 26, a short square-round face, thick straight brows, broad eyes, solid nose wings and jaw, strong neck and shoulders. black hair tied simply, ordinary gray-brown rain hat worn back to show the face. gray-brown short travel coat with dark blue inner collar, fitted dense cotton sleeves. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C07-FULL__v01__candidate.png
MB-C08-FACE,孙福生｜正脸身份,MJ,C,,C08,GJ-EP01-SC02,,49岁汤摊主人，围腰短须；人物普通但体面，不夸张油污,"Single fictional Chinese man, age 49, a broad balanced face, open brows and eyes, smile creases, short tidy beard, sturdy upper body and broad hands. plain tied black hair with a few gray strands. warm chestnut short cotton jacket and pale-gray cloth apron, neat collar seams. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C08-FACE__v01__candidate.png
MB-C08-FULL,孙福生｜全身干衣,MJ,C,,C08,GJ-EP01-SC02,MB-C08-FACE,49岁汤摊主人，围腰短须；人物普通但体面，不夸张油污；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 49, a broad balanced face, open brows and eyes, smile creases, short tidy beard, sturdy upper body and broad hands. plain tied black hair with a few gray strands. warm chestnut short cotton jacket and pale-gray cloth apron, neat collar seams. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C08-FULL__v01__candidate.png
MB-C09-FACE,周成｜正脸身份,MJ,C,,C09,GJ-EP01-SC02,,宽额圆下颌、赭褐衣；与丁茂分别选脸，不加新职业徽记,"Single fictional Chinese man, age 36, a broad forehead, thick eyebrows, bright eyes, rounded jaw, light wheat skin, strong working shoulders. simply bound black hair. faded ochre short cotton robe with light-brown inner collar, neat repairs at elbows. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C09-FACE__v01__candidate.png
MB-C09-FULL,周成｜全身干衣,MJ,C,,C09,GJ-EP01-SC02,MB-C09-FACE,宽额圆下颌、赭褐衣；与丁茂分别选脸，不加新职业徽记；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 36, a broad forehead, thick eyebrows, bright eyes, rounded jaw, light wheat skin, strong working shoulders. simply bound black hair. faded ochre short cotton robe with light-brown inner collar, neat repairs at elbows. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C09-FULL__v01__candidate.png
MB-C10-FACE,丁茂｜正脸身份,MJ,C,,C10,GJ-EP01-SC02,,窄长脸灰绿衣，不画阴险神情或密探面罩,"Single fictional Chinese man, age 39, a narrow rectangular face, straight relaxed brows, softly defined eye sockets, clear lip line, slender upright frame. simply bound black hair. gray-green short robe with smoky-brown inner collar, matte close-woven cotton. Front-facing head-and-shoulders portrait, neutral relaxed expression, unobstructed face, soft even face light. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 3:4 --v 8.2 --raw --s 75 --c 0",ready_for_exploration,MB-C10-FACE__v01__candidate.png
MB-C10-FULL,丁茂｜全身干衣,MJ,C,,C10,GJ-EP01-SC02,MB-C10-FACE,窄长脸灰绿衣，不画阴险神情或密探面罩；衣型、体量和脸沿已选母版；干衣无新伤,"Single fictional Chinese man, age 39, a narrow rectangular face, straight relaxed brows, softly defined eye sockets, clear lip line, slender upright frame. simply bound black hair. gray-green short robe with smoky-brown inner collar, matte close-woven cotton. Front-facing full-length standing costume study, both hands relaxed and visible, feet included. Plain warm-gray studio background, one subject, one frame. Lavish, high-end Chinese costume idol drama aesthetic, refined casting and fitted costume construction, luminous directional face modelling, natural skin texture, rich translucent color, readable dark fabrics. --ar 2:3 --v 8.2 --raw --s 75 --c 0",awaiting_parent_selection,MB-C10-FULL__v01__candidate.png
