编号,名称,篇章,粒度,状态,文档路径,摘要
GJ-EP11,留不住的字,归京,episode,分集大纲,剧集/01-归京/README.md,清点外库时，旧构回潮，南水关旧泊位相关水程页出现墨迹扩散、粘连与页边水痕。今顾先查实物受损、人为换页与形成时间，将还能读的部分据实留录；内侧仍无拆检许可，顾伯只知道可见外库结构
GJ-EP12,城外那一单,归京,episode,分集大纲,剧集/01-归京/README.md,巡防先控制承单人与罗顺等经手节点；黄祁在离城交接处由守一协缉者参与拘捕，不是普通差役正面击败。现场、五人住宿、付款与撤令经过分别互证，五名执行者逐人核对，不能以一人口供覆盖全队。桥前林中执行链闭合；与冒役链共有的上游经办指向梁所属机构，仍缺本人授权
GJ-EP13,有人在家,归京,episode,分集大纲,剧集/01-归京/README.md,许娘被“户绝”报告要求交宅，她自己找工匠与写状人，并请同街办事的程叙协助。程认出买方担保与父亲有关，想先私下退宅，暂未说全
GJ-EP14,灯架下,归京,episode,分集大纲,剧集/01-归京/README.md,22岁的宁清晏年度巡查入京，先在灯架事故中稳住结构；今顾配合匠人安排撤离。事后她认出宅产核验上自己的签署：此前根据地方“已实勘”呈报同意移交
GJ-EP15,还没看过，就写好了,归京,episode,分集大纲,剧集/01-归京/README.md,许娘指出屋内改建细节，沈协助核交割；独立工班出勤证明首次实勘晚于终验签结，与“亲见无人居住”的报告矛盾。宁暂缓执行并要求复核
GJ-EP16,那个签押,归京,episode,分集大纲,剧集/01-归京/README.md,程家短场中，程守成愿退钱，却让儿子换一句“担保时不知情”；程叙拒绝，随后交出文件、承认隐瞒。今顾不删呈文中的程家责任，许娘继续申诉
GJ-EP17,把门打开,归京,episode,分集大纲,剧集/01-归京/README.md,当场查验揭出人为删减的在住情况，取得暂停交割、恢复居住的临时决定。宁撤回依据不全的意见，许娘自己拿钥匙开门
GJ-EP18,一夜灯火,归京,episode,分集大纲,剧集/01-归京/README.md,许娘摆摊，陶七带女儿看灯；宁接受短暂同行，留下听完喜欢的一曲。程与今顾仍拘谨，却给彼此留座
GJ-EP19,有人要付账,归京,episode,分集大纲,剧集/01-归京/README.md,沈氏货物暂扣，章秋屏划明工钱与可用担保，保留自己的管事立场。一次收栈，今顾留下帮沈整理受潮货样；她替他掸去领边纸屑，两人忽然站得太近，手都迟了半拍才收回。他主动约她次日晚间去喝热汤，她先说还得忙，最后仍问了时辰；两人到时真赴了约，吃完才各自回家。另场叶扶疏听师父说伤势趋稳，进京送换季衣与材料，发现大师兄接物、练步都与从前不同。众人仍申请核验关印、验货和补卷经手
GJ-EP20,他还站在这里,归京,episode,分集大纲,剧集/01-归京/README.md,陶七来领余款，工头以当期工簿没有他推责，同工混淆其工次与借住日期；女儿仍认得父亲，却被连问几夜、领几回钱吓住，怕答错而沉默。今顾说明自己亲见的讨薪和上元同行，请经手分开核工牌、支付与实际住处；另一侧旧泊位回潮、临时住处受损，使人更难安置
GJ-EP21,先离开这里,归京,episode,分集大纲,剧集/01-归京/README.md,宁与巡查人员按实测确认临水地形异常，将陶七父女转到当时复核仍安全的安置点；住处、食宿与联络落实，身份和欠薪继续核验，旧泊位风险尚未解除
GJ-EP22,记得，不能代替证据,归京,episode,分集大纲,剧集/01-归京/README.md,陆怀真正式接续争议与异常调查，准许限定重检旧库，并调旧契相关登记。勘验吏高成礼记录原位与经手；今顾和宁再次观察外库旧页变化，尚未发现内室
GJ-EP23,墙后少的一尺,归京,episode,分集大纲,剧集/01-归京/README.md,今顾绕库门内外对照，发现同一侧外墙到转角尚有一段，室内却已收墙，猜有另层空间。高指出两次尺寸基点不同，重新复尺后仍有余量，工匠排除普通墙厚等解释，按许可拆检，找到内室与近期使用痕迹。工匠先取出尚未展读的折信，记录纸本原位、粘连与回潮，旧图与普通货程另行勘验；陈渡退开让工匠处理，不因猜中便抢撕湿页。个人家书获准由本人另处私读，不在现场向同伴宣读
GJ-EP24,留给后来的人,归京,episode,分集大纲,剧集/01-归京/README.md,陈渡独处读完整封关键遗信，将韩青、顾伯此前各自说过的返府与独处经过，同遗留旧图和使用痕迹在心中对照；观众由此看清原顾主动断籍。信不预知桥前林中袭击，也没有谢的姓名。他对外仅提出能独立核验的地点、货程与接触人，关键原文自行保管，不伪造、删改已交官署的刑案原物
GJ-EP25,这件旧约我不记得,归京,episode,分集大纲,剧集/01-归京/README.md,程说起一项从前的承诺，今顾不再顺口应下，只承认确实记不起，不能让程以为自己能照旧承担。他说明继续查票可能带来的报复、陶七必须再迁以及自己尚未核明的部分，请程只答应做得来的找车一段。程对变化仍难过，也只往伤病上疑问，最终按自己已向陶七作出的约定找车
GJ-EP26,先把风险说清,归京,episode,分集大纲,剧集/01-归京/README.md,今顾分别向沈、宁、顾伯、温与叶交代已核的追索行为、撤离可能占用的人力和钱物、自己记忆与动作的限制；仍不透露穿越及遗信关键正文。沈只同意有范围的费用与货栈协助，不把私约并成差事；宁问清伤势和接应条件。五卒全员听清当前救援风险，各自说明能帮到何处，不被一声旧称替他们答应。写给贺、宋的是伤情、重学请求和普通近况，月底收到
GJ-EP27,谁批的尾款,归京,episode,分集大纲,剧集/01-归京/README.md,官署核验承单尾款、经办提款与梁补账批令。租车经手被追问得像已亲见梁时，陈渡主动指出对方只说见过付款人，高按原话留存，再用独立批令与经手证明授权。高逐项签收E1a、E1b及付款材料，另列可交接的勘验说明
GJ-EP28,北行的路引,归京,episode,分集大纲,剧集/01-归京/README.md,今顾已有本人离京手续，却决定先完成陶七撤离。五卒也各有退籍路凭，但尚未许诺无限期随行；他们先履行此前答应的救援。沈要求人证、档案分开安置，普通北路测记可重做；原顾未领军俸凭据仍待核验，不能当现银
GJ-EP29,这条路我走不了,归京,episode,分集大纲,剧集/01-归京/README.md,原安置边界扩大，必须再迁。今顾看见一条能少绕路的低阶步道，先在尚有支撑、能够回撤的一端试一步，发现仍须用手攀撑。陶七直说自己走不了，韩青指出孩子与伤者更不能照搬；今顾立即撤回捷径，改走能接续车辆的路
GJ-EP30,先让谁上船,归京,episode,分集大纲,剧集/01-归京/README.md,运力不足，程调车辆、沈落实费用，宁接伤员与绳具；五卒同在当前转运段，按既有小阵配合阻止梁方强占通路，迅速守住候船人群，再将具体侵害报巡防。他们能排除眼前武力阻路，不能凭空增加船位。温守另一条仍有撤离者的临水通路，叶负责该路岸上接应
GJ-EP31,桥还没有断,归京,episode,分集大纲,剧集/01-归京/README.md,通路局部脱落，五卒护住现场人群和仍有支撑的转接处，却不能结阵填回缺口；今顾按复核路线协助绕行，宁守自身、承担尚存桥墩的物理支撑。杜统合接应，韩等接过最后一段，五人不被几个小贼击散；温、叶继续护完另一组。为保人丢掉测记和副件，刑案原物早在官署
GJ-EP32,把人接住,归京,episode,分集大纲,剧集/01-归京/README.md,陶七等抵达多方持续联系的稳定接收处，落实食宿、联络与新工安排，眼前的世隙风险停止扩大；惊惧、失去的工期和旧住处不能立刻补回
GJ-EP33,该怎么判,归京,episode,分集大纲,剧集/01-归京/README.md,执行付款链支持梁买凶与侵吞责任；启印、旧验货、原始卷目与补卷经手互证，坐实梁在承祐三年补入货契、虚报元年已验已呈。元年初案的急报、口供与秘密处置另需北路材料
GJ-EP34,还给谁,归京,episode,分集大纲,剧集/01-归京/README.md,程守成亲自办理查明的退款赔付，不再让程叙以私下求情代替责任；许娘产权争议按查明部分处理。顾家因后补伪证衍生的家属附罪复核，可追欠款与抚恤逐项办理
GJ-EP35,这一页我署名,归京,episode,分集大纲,剧集/01-归京/README.md,宁提交自己的复核和错误说明，争取继续巡查；顾伯修整漏屋、收干暂不用的旧物，按今顾说出的食量留饭。谢支持合理复核，接受他人查自己经手的部分手续
GJ-EP36,门留着,归京,episode,分集大纲,剧集/01-归京/README.md,陶七开始新工，今顾给顾府留下愿履行的约定，宁安排巡查。陈渡将梁案已结部分与尚缺的材料分开，下一步先找原顾接触过的北路见证，不把查清梁当作查完断籍缘由。五卒收拾亡友遗物，说起北边还有谁等着他们，伍拿罗当年被背得嫌颠的旧事打趣；开铺、做石工和回家的念头也在饭里说出来。宋迟进京布置小院，已收到伤情与课业近况，先收好暂不合伤后训练的重练器，带来低负荷用具
ZY-U01,曲还没有唱完,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,今顾与程修好顾府窗缝，再去勾栏；邻座19岁的殷照夜正跟着曲子轻敲桌沿，笑着请他们等曲终再争。她明艳、动作轻快，听完自己去挑喜欢的衣料，没有留下谜语，也没忙着展示教中权势。程发现今顾爱把甜糕留到最后，分来自己盘里的一块，不再拿原顾口味纠正。外院短场中，杜与同袍商量合伙生计，算清各家要留的钱，其他老卒按自己的约去见亲人或试活，不五人围坐旁听男主感情。另一个程家晚饭场，程守成替女儿缝球，又想让她停课省钱；程映禾愿分担说清的家用，却拒绝耽误已付费的学生。她试球时险些让弟弟洒了汤，父亲也笑起来。生活各自完整，殷首次听曲不夹师门出场，姐姐的课程也不是给男主安排的差事。
ZY-U02,她来找的不是你,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,"殷从正常来往中得知顾砚正在找北路见证，主动提出交换：她可以引见周顺，今顾须帮查一批庇护者被转出的去向。她先讲清范围，不冒充早知穿越。韩与杜以退伍者身份询问手续，确认顾砚军引、五卒各自退籍路凭都只解决相应本人的通行，不能代替周顺的安置与跨关许可；他们没有现役军职可命人放行。今顾原可先走，却选择处理线索、如实支付查访开支。沈只支付限定费用；殷见到五卒的护送实力，也必须凭本人意愿引见证人，不能把不肯同行的人写成可由军阵抢走的东西。

另一个闭栈的晚上，沈主动问陈渡还愿不愿再去那家汤摊。他早把查访留到白日，空着手来等她；她换下做事的外衣，两人绕路去看夜市里的小玩意。陈渡挑中一件不大好看的小物件，心里想起现代店中一次进错货；这段只给观众。他口中谈眼前接缝可能磨手，拿起试过才发现看错位置，认了错，再问沈最近哪件小事拿不准。她讲一次选错颜色，也承认有时怕别人看出不会；他不编造古代开店履历来解释自己的眼光。回程他伸手，她握住，走过一段人少的路才放开。他们重新认识的是眼前的人，亲近开始超出合作；这顿饭不因公事被打断。"
ZY-U03,被救下来以后,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,周顺住在无相教院落，药食真实；他的路引被闻策一支以“待核安全”为名扣在旧册中。殷先承认自己只知本院流程、不知完整经手，陪周顺核清去向和工钱；周顺只愿先见女儿、结清工钱，不肯跟顾砚北上，提供有限货程，坦言不知谢及定衡全貌。流传旧案只保留少数异来个案的成功片段，今顾认出相似筛选，仍不能据此断定跨世规律或幕后。另一场，温取出原有门籍与课记，沿顾砚八岁入门的记录安排伤后重新考课。今顾承认不记得部分旧招，请求从当前能做的动作学起；不删旧籍、不重拜师，也不写来客身份附记。温只能观察身息、伤病与练习结果，不能凭境界判定灵魂来源。
ZY-U04,谁能看见这份名册,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,三月初，温依伤后考课继续传授，今顾接受门规与具体课业，记不起的旧约先问明再答应。叶拿旧竹竿纠他的步，记起从前被敲鞋跟的事；今顾认真听，不假装也想了起来。宋只知伤后须重学，各人仍可按真实能力和新约调整相处，沿称大师兄不抹旧籍。另一场，宁、殷核对安置：邵松年带领药要求，姚春娘说明曾送周顺药食。具名和匿名办法各被当事人拒绝后，资料用途分开说明；姚不交整船名单，邵不将临时安排写成全已核清。殷据周顺的意愿先要求返还其本人路引，闻策一支仍以旧册未清为由扣留。可公开证言的范围有了进展，人却仍不能照自己的安排走；殷转而追查扣留依据和实际经手，不把解释过用途算作已解决去路。
ZY-U05,为自己留半日,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,叶在小院试剑，今顾虽沿用师兄称呼，仍须让她纠正收锋；她不再逼伤后师兄按从前的习惯回应，也不会替他补造记忆。她想凭自己赢问剑会，与小满约了戏衣染样、报酬和交期。另留完整半日给宁与今顾看春社：宁此前已听他亲口说起与沈的亲近，想过自己的心意，仍主动相约。听完乡戏以后她还舍不得回去，直说想与他再走一会儿。他答自己也一直盼这一天，先伸出手；宁看了片刻，将手放进他掌心。她不把欢喜视作需要否认的证据，仍按计划外派，不为多留几日把工作推给邵。师妹拥有自己的目标，既不围观约会，也不因师兄喜欢别人而失去生活。
ZY-U06,守住自己之外,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,"西路巡查中，一名同门在旧法安抚后仍反复失神；宁按熟悉的法门复测，短时有效却无法解释反复。扰动增强时，她没有把未验证的办法继续压到受试者身上，岳素真及时接手，邵松年护送受试者退出；器具损坏，宁如实记下失败。她由此开始重访现场、询问同行者，也不替这名同门决定以后是否继续原路修行。邵接下轮值后希望继续独立负责，拒绝只做随时要归还职责的临时代班。长京一侧，宋迟正式展开：他想多卖几件机巧玩具，与今顾各以为对方懂某处结构，做坏一个小样，最后共同付材料钱。宋会修小器，也须承认不会；他要求师兄先配合重测，练功、留饭与争执接续日常。

同月长京的查访继续：闻策一支不答单独返还路引，反而把周顺的去向与一批庇护者合列为待转事项。殷先让各人分别核对自己的去向，陈渡只承诺核查周顺愿公开的货程；两人不替整批人作答。此时只是合并安排已出现，是否会强制执行尚待确认，不能当作已经救出或已经查明全部拘人责任。宁仍在西路，她的巡查结果未送到前不参与长京判断。"
ZY-U07,没有差事的一天,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,殷和今顾把一天留给游玩。她换上自己新挑的衣衫，走出几步又回头问他好不好看；他认真看了才答，她笑着拉他去凑热闹。她想上高处，他判断路滑后改走平路，没有把逞强当作取悦她的方法。途中急雨使他想起现代车辆遇滑坡的末刻：撤下岩壁以后，死亡仍可能发生。车辆、死亡和现代来处只向观众以内部回想呈现；他只向殷说雨声一急便怕路突然失去支撑，眼下还走不动，想坐一会儿。缓下来以后，他另将自己与宁、沈正在发生的亲近如实说清，不让她误会已有独占承诺。殷一时收了笑，问完实际感情与见面安排，才说自己在意他，往后这些关系里的话要由他亲口讲；她不知道穿越，也不被安排猜中。她陪他坐到雨停；他缓过来后主动握住她的手，问她余下的地方还去不去。殷点头，两人继续走完这一天，安慰没有交换条件，心动也不只由她一个人表示。
ZY-U08,她替别人收拾好了行李,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,闻策主张按旧债约强制转移庇护院。殷只能撤回自己经手、且愿继续接应的一班人手，要求周小满及其他人各自说明是否愿走；闻策的北路旧支仍能自行调人。她为抢时间，只先替小满保留临时床位和路钱，没听完她对染样、未结料款和学艺的打算。姚春娘发现闻策所派的一船人并非自愿，拒接这一趟，不因私人交情默许扣人。小满留下完成自己选择的染样，仍失去一部分交期与料款；父亲这才知道她原想留下学艺。叶自己来追约，听清后先付已经完成部分的钱，再与小满分清能追回和确已失去的东西，没有找师兄替她争。今顾拒写“全员自愿”；殷也把未核清的名单标明，答应下一次先让当事人说完，不能被两位朋友的好心和解代替。
ZY-U09,你替我选的那条路,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,殷拿到周顺路引的旧册副页，证实扣留并非临时核验，而被写成持续限制出院的条件；她同周顺逐项对过工钱、见女儿和不北行的选择，请他自签可公开的有限证言。陈渡不肯替她用一纸好意抹平旧网，二人分别保全原簿与副页，并将有限证言、账页交地方刑审与陆的并案核验；殷承认自己早先催问太快、先信了本支说法，撤回任何“必须随行”的建议。回小院，贺令仪只读过伤情与课业近况，见旧习惯变化会担心伤病，再按今顾实测能力重教“回身”，不鉴魂、不先确认原顾已死。四月下旬岳循驿程返京，与温在春讲平辈见礼、争论教法；贺接一位成年听课者的长木枪，以木器演示借壁、回身，收势即停。温拒替按身份排斥未涉案听者的做法撑名，退预付讲资、自院续讲。贺要巡教开剑塾，温想留她接山门；她拒再等一年，两人重排课资与人手。
ZY-U10,门要从里面能开,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,殷与愿受核验的庇护者逐张复核支系路引、个人资料和退出凭据，公开哪些旧债约本无效、哪些实际费用可另行合法清偿；她不能以圣女身份一纸废掉所有人的权利，但在经手范围内停止以债约换去留。接到地方刑审与陆的并案核验通知后，闻策带部分人手北返、转入北路旧支，逃避拘人和毁证调查；殷提供自己的联络与流程说明，接受对错信、迟报和程序疏漏的外部核查，宁也留下反对强制统一登记的复核意见。费用上升、地点减少之后，殷仍须找钱。端午前她去姚春娘船上吃饭，姚要换船底、回家住几天，暂停接差事，却愿保留私交。殷嫌鱼太咸，仍吃完并答应洗碗。两人聊菜价和闲事，船边没有埋新证据，也没有刺客打断。
ZY-U11,愿意回来的人,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,端午，宋迟向章秋屏借一条小练习舟，想试竞渡却输了；他照约清洗、按时归还，章肯看他的手艺，也明确不准擅改商船。师门吃饭时给迟回的师弟留一份，不让他靠输赢取得位置。五卒备好要带给遗属的东西，段分粽子时提起那锅人人分回一点的雪夜热汤，孟嫌他又讲一次，仍给他留下最大的一只；有人还没习惯顾砚伤后的新口味，却愿按说清的风险与期限再走北路。小满拿回可追工钱，自选南方有薪差事，与父亲留下有限证言，顾砚支付误工。傍晚，殷留陈渡多坐一会儿，先说想亲近他，伸手轻拽住他的衣领又停下看他；他握住她的手，主动靠近，两人在彼此的回应里亲吻。他们真心相爱，关于其他亲近与以后的疑问仍愿意继续说。老卒与同门不围观，殷的职位和赔偿也不因爱情复原。
ZY-U12,谁走，谁留下,照夜,unit,剧情单元大纲,剧集/02-照夜/README.md,温按年前夏秋授业约于五月初十前后先行北上，六月起履约；陈渡与五卒于五月中旬随后循证言北行。五人愿共同护送本批人货到朔北首站军镇的普通转运栈，也想亲手交还亡友遗物、探访遗属，原说这趟到六月底结束；出发前各自给家中留下消息与所需钱物。殷为寻人同行，宁另有巡查。今顾春季重练至行息初成，只能短促发力，不因五人护送就继承原顾军旅本领。贺、叶准备京畿巡教问剑，宋留工坊，程留京赔付办事，沈委章秋屏落实运输。行前陈渡另留一晚与沈吃饭，如实讲过与宁、殷的亲近，也告诉她自己会想她。沈问他今夜来只是因为将远行，还是想见自己；他认真答是想见她。她才拉近他的碗，叮嘱寄信也写吃了什么、碰见什么，别只有缺船缺钱。她留京做完眼前经营，他把这份牵挂带上北路。队伍经桃汀、回雁，认识迁户，却见临工被写作已离开；五卒能护人货通过受袭路段，仍不能凭阵甲查阅所有记录。
BH-U01,这里有人认得顾砚,白河,unit,剧情单元大纲,剧集/03-白河/README.md,五卒先将本批人货交到首站军镇的普通转运栈，随后带着遗物探访旧人。旧同袍请顾砚核原身走过的军路，陈渡坦言记不起，不能冒充原顾多年军旅本领。五卒熟悉昔日军路，却确认其中有灾后新改段，遂付钱请熟悉现状的向导，不把旧经验当作全程答案。杜继续负责队伍配合，今顾接受暂不单独领队。五人在邻近的护送、遗属探访及休整中分配时间，遇共同危险能合阵，不为制造男主独斗而各去遥远地方。宁按巡查抵达，殷忙庇护网，温在相距数日的关镇授课。京中宋为映禾球场修计分牌赚到工钱，回信也有自己的生活。
BH-U02,发过的钱去了哪里,白河,unit,剧情单元大纲,剧集/03-白河/README.md,制靴匠田兰枝看见韩青的旧军袍，先问清他是来交还遗物还是替谁取收条，不肯因旧同袍身份就签空白；她还提醒他欠着修靴钱。亡夫死于另一场守役，与裴昭失世分开。五卒分别把能确认来处的遗物和领支线索交给相应家属，正式给付由有权经办核验，总领款、逐户领取与实付不能混写；陈渡只补亲历。追回的钱先付，余款待查，田继续开铺并准备再婚。韩没有现役核军户权限，也不能替亡友决定遗属该怎样过日子；查访继续指向韩骁及旧封界。
BH-U03,别人的史册不归你管,白河,unit,剧情单元大纲,剧集/03-白河/README.md,朔庭一方保存着独立货程与边城出入记录，却拒绝把原本交给乾朝来访者。他们要求先复核一批被扣商旅，并保证资料不用来另行追捕无关人员。韩、杜以退伍见证者提交自己实际经手的线索，有权关署另按权限逐人审查；陈渡不能凭军引放人，五卒也不能用归旌阵逼交原本。双方在各自见证下比对，证实元年某批货路线与最初急报、口供中的通敌说法不合，也显出封界之后的饥困。换来的资料有范围和条件，强大护送者同样要遵守已经答应的用途。
BH-U04,先过去的人,白河,unit,剧情单元大纲,剧集/03-白河/README.md,"一段受扰通路抹掉实在支撑，将陈渡所在的勘测段与主要人流隔开；五卒就在这段护送中，护住尚存的接续处，不能靠合阵填回缺口。宁若抽离当前物理支撑去接陈渡，老人和伤者便失去退路。她按原定次序完成撤离，明确说自己害怕，却不能先带他走。杜统合接应，韩等从已复测侧线接回陈渡；他仍伤了手臂、丢下测具，数日不能继续原工序。阵能挡修行者抢人，这次危险来自路本身消失。陈渡承受被爱也不一定先获救的处境，没有责问宁。

六月下旬，最初的人货已交首站转运栈，新的遗属探访与保护尚未做完。晚饭间有人说：“原说月底回去，这趟我再陪你走到秋后。”杜听见各人的打算，五人都愿留到九月底；家书说明改期，必要家用已有安排。镜头只留一两句家常接话，不逐人拍续程手续，也不由陈渡或杜替众人答应。七月至九月南返属于这次同行。"
BH-U05,关起来就安全了吗,白河,unit,剧情单元大纲,剧集/03-白河/README.md,陈渡伤势已获准参加有限的低风险核验。宁因后怕，在同门、向导与陈渡都在场的复核会上公开提出三日禁行、两次复测和可随时退出的条件；她也坦言这既有伤势依据，也有自己害怕他再被隔开的私心。陈渡指出短窗会过去、替代人手也会损失信息，两人不是争谁有资格替谁决定，而是把伤势、窗口、地形和可承受代价列进同一张方案。替代队先行只取得部分数据，宁承认自己的预估忽略了时序成本，承担重排核验；陈渡也接受不能把“我能走”当作大家必须同意。修复不是放任冒险，而是让风险、权限和退出条件都对当事人可见。
BH-U06,七夕没有答案,白河,unit,剧情单元大纲,剧集/03-白河/README.md,"殷与陈渡逛边城七夕夜市，谈以后住哪里，一人想常回的小院，一人想沿路停留；没有结论，仍认真过完约会。岳按六月巡查北来，听宁承认不只怕失去人，也怕别人知道自己偏私；旧日误救的教训不能替她抹错，禁止情感也不消除误判。京畿巡教前的问剑中，叶低报腕伤坚持上场却输了，还耽误次日授课，须亲自道歉改期。邵另线任事、宋在京修器，各人家书都有自己的内容。七夕夜不新增袭击或命案。

长京的沈在七夕前收到陈渡六月中旬寄出的家信：有北地难吃的面、他记错的一段曲，也有一句想与她再吃热汤。她闭栈后重读，把回信里的“诸事顺利”划掉，写自己其实也会想他，还写了几件不想让伙计听见的小糗事。信按驿程北送，陈渡晚些时候才收到；不用同夜来回的剪辑假装两地即时说话。沈将长京经营交接好，七月中旬随正常商队北上，为舅父旧案与商栈经手而来，八月上旬才抵北；她也盼着见他，这份盼望不必藏成公事。"
BH-U07,白河并不在门后,白河,unit,剧情单元大纲,剧集/03-白河/README.md,队伍抵达白河，见到残留路基在空处终止；短暂结构重叠只显示局部异常和旧境河湾的一段实景，没有完整旧城可供闯入。雾退的一瞬，对岸有人正撤下低处的渡板、把写有水位刻度的木尺抬离岸边；他们并不朝此处求援，也没有替乾朝人打开道路。随后的对照证明那组刻度与石门故道先退水后涌泥的日期，恰同桃汀桥桩反向受力、回雁山隘返潮相合，第一次提示三处并非各自独立，也提示河湾一侧有自己的岸工、住处和撤离判断。五卒与遗属谈起裴昭及各自失去的人：有人只记得一次接应，有人记得钱袋或雨势，叙述不全却可彼此补证；没有人因军阵或来处天然免于遗忘。陈渡将私读所得的名字仅作为待核方向，再由军中登记与幸存者独立确认，不向众人展示遗信的自断、来客段落，也不能临时拥有未经历的救援记忆。众人去石门屯交接遗属物件、拜访幸存者，发现这里接过白河遗属，如今又收到迁出的勘验。陈渡放弃把失去的人原样带回，转而问现有人能去哪里。
